system:index,class,random,.geo
1_1_2,1,0.5433046328774924,"{""type"":""Point"",""coordinates"":[-83.83653139327531,43.715656816256086]}"
1_1_3,1,0.6817292910416574,"{""type"":""Point"",""coordinates"":[-83.49458193038468,43.96625455579291]}"
1_1_4,1,0.25022654539801725,"{""type"":""Point"",""coordinates"":[-83.1210467741347,44.144889971889164]}"
1_1_6,1,0.12215824436560441,"{""type"":""Point"",""coordinates"":[-83.44789003585343,44.20792490951704]}"
1_1_7,1,0.2520853673762786,"{""type"":""Point"",""coordinates"":[-83.17816188289589,43.96329920810741]}"
1_1_10,1,0.03331331710481156,"{""type"":""Point"",""coordinates"":[-82.4884703089545,43.35772391738449]}"
1_1_11,1,0.7674337090788176,"{""type"":""Point"",""coordinates"":[-82.45482467907169,43.272292591637274]}"
1_1_12,1,0.1769756791413798,"{""type"":""Point"",""coordinates"":[-82.76197598517496,44.029487854192276]}"
1_1_14,1,0.4251867093211391,"{""type"":""Point"",""coordinates"":[-82.67545865119058,44.0075147605262]}"
1_1_15,1,0.10896485887462137,"{""type"":""Point"",""coordinates"":[-84.22107306038795,43.5718567660244]}"
1_1_18,1,0.23753226758606072,"{""type"":""Point"",""coordinates"":[-82.48747950603713,42.4372861670873]}"
1_1_19,1,0.4460854210034769,"{""type"":""Point"",""coordinates"":[-82.67836695720901,42.3637635243894]}"
1_1_21,1,0.15515955402696557,"{""type"":""Point"",""coordinates"":[-82.93085150395493,42.62718822381059]}"
1_1_22,1,0.19562742736895988,"{""type"":""Point"",""coordinates"":[-83.15938585292555,42.05188082823724]}"
1_1_23,1,0.5340004947487856,"{""type"":""Point"",""coordinates"":[-83.59598219144084,42.216950145594325]}"
1_1_24,1,0.2798792550399892,"{""type"":""Point"",""coordinates"":[-83.1271863892934,42.17948251143674]}"
1_1_25,1,0.04989519557394961,"{""type"":""Point"",""coordinates"":[-83.134688162109,42.2073324872507]}"
1_1_26,1,0.1828483347151335,"{""type"":""Point"",""coordinates"":[-83.10638754028072,42.26964717247066]}"
1_1_27,1,0.719327451024134,"{""type"":""Point"",""coordinates"":[-83.0173780347821,42.33160879867083]}"
1_1_28,1,0.023111688383579687,"{""type"":""Point"",""coordinates"":[-82.83851574352339,42.35660559997068]}"
1_1_29,1,0.46885708142513594,"{""type"":""Point"",""coordinates"":[-83.0122709476592,42.64635943880818]}"
1_1_30,1,0.24814253863213198,"{""type"":""Point"",""coordinates"":[-83.45707824458155,43.11223266056797]}"
1_1_31,1,0.7663733037958123,"{""type"":""Point"",""coordinates"":[-82.45553793938078,43.104869150824356]}"
1_1_32,1,0.04647017451469715,"{""type"":""Point"",""coordinates"":[-86.04129420904457,43.245984007844626]}"
