system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,Texture,class,elevation_normalized,random,.geo
1_1_2_0,30.0,391.0,473.0,254.0,91.0,-0.9995189,0.20086776,0.10716572,0.0011460828939356667,1,0.052120876,0.5433046328774924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.8363967845595,43.7156599021566]}"
1_1_3_0,32.0,419.0,472.0,188.0,80.0,-0.99957544,0.21459784,0.10393096,0.002047183891653502,1,0.052120876,0.6817292910416574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.49467765048044,43.96628986642595]}"
1_1_4_0,59.0,301.5,212.5,110.5,92.5,-0.9996588,0.19972104,0.08142993,0.001483375171005071,1,0.052120876,0.25022654539801725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.12115815534354,44.14496477643732]}"
1_1_6_0,53.0,320.6666666666667,236.5,110.0,84.8,-0.99966294,0.2028458,0.08516776,5.134398279349085E-4,1,0.052120876,0.12215824436560441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.4477855926494,44.20802650938251]}"
1_1_7_0,1714.0,513.0,610.0,750.0,1496.0,-0.9994621,0.0039903037,-0.0034412243,0.01143514766727994,1,0.054061547,0.2520853673762786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.17829100741353,43.96332542598836]}"
1_1_10_0,74.5,374.0,293.0,150.0,130.0,-0.9996502,0.21966109,0.08486784,6.666243132486518E-4,1,0.052120876,0.03331331710481156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.48838486920975,43.35777109296339]}"
1_1_11_0,78.5,373.5,260.0,127.0,106.0,-0.99965394,0.20996219,0.07588284,8.262341734220284E-4,1,0.052120876,0.7674337090788176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.45469804605527,43.27234130944362]}"
1_1_12_0,129.0,467.0,450.5,220.5,173.0,-0.99952626,0.16659343,0.090634115,0.0025029320690197836,1,0.052120876,0.1769756791413798,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.76192187322414,44.02962109395638]}"
1_1_14_0,126.5,388.0,292.5,176.0,157.5,-0.9995657,0.107592046,0.0593276,0.0015282572398442257,1,0.052120876,0.4251867093211391,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.67541411136344,44.007522537967034]}"
1_1_15_0,56.0,348.0,679.0,287.0,92.0,-0.99945825,0.14148507,0.08539292,0.009283349798337066,1,0.054893263,0.10896485887462137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.22096555769107,43.571749793640656]}"
1_1_18_0,42.5,623.0,760.0,306.5,76.5,-0.9994694,0.17828698,0.115546755,0.003101268731541131,1,0.0515664,0.23753226758606072,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.48757638545403,42.4371775897977]}"
1_1_19_0,87.0,497.0,480.0,184.0,125.0,-0.99960446,0.21672079,0.09096419,6.53217171968155E-4,1,0.0515664,0.4460854210034769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.67837855180103,42.363875062613545]}"
1_1_21_0,195.5,359.0,579.5,410.0,302.0,-0.9994432,0.07191235,0.06213692,0.04692618323281196,1,0.05295259,0.15515955402696557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.93089497816702,42.62717127238898]}"
1_1_22_0,61.0,514.0,524.5,328.0,123.0,-0.99956554,0.17688021,0.07394252,0.003191025827161162,1,0.05128916,0.19562742736895988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.15942638644702,42.051800332910425]}"
1_1_23_0,67.5,269.0,322.0,220.5,106.0,-0.9995542,0.12958136,0.078797825,0.01806530703174523,1,0.061269753,0.5340004947487856,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.59600761452911,42.217000513660004]}"
1_1_24_0,55.5,726.5,772.5,372.0,129.0,-0.9995052,0.1985673,0.107250325,0.004407180027136577,1,0.05128916,0.2798792550399892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.12708703621873,42.17954076631222]}"
1_1_25_0,80.5,726.0,714.0,322.5,145.0,-0.999465,0.22297138,0.10317149,0.0028080167040347107,1,0.05128916,0.04989519557394961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.13463288460532,42.207298708591516]}"
1_1_26_0,139.0,730.5,708.0,299.0,172.0,-0.99954176,0.20038784,0.102807455,0.03292499750185633,1,0.05128916,0.1828483347151335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.10633595315556,42.269551957781]}"
1_1_27_0,107.0,707.0,671.5,288.0,137.0,-0.99950224,0.21073043,0.108519755,0.042121026517253336,1,0.05128916,0.719327451024134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.01740274002773,42.33153571238525]}"
1_1_28_0,93.0,653.0,634.0,317.0,155.0,-0.9995865,0.20010197,0.10221205,0.00285275688563368,1,0.0515664,0.023111688383579687,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.83845833543113,42.35659870881218]}"
1_1_29_0,110.0,215.0,250.0,144.0,111.0,-0.9996295,0.16116352,0.075690515,0.02391749744190497,1,0.056556694,0.46885708142513594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.01228234290825,42.64630538794073]}"
1_1_30_0,63.0,281.0,419.0,265.0,159.0,-0.99955094,0.12160301,0.07936771,0.008318920796783352,1,0.06653729,0.24814253863213198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.45694840854742,43.11226152581352]}"
1_1_31_0,49.0,443.0,386.0,101.0,87.5,-0.99961156,0.2657223,0.10277159,8.968740124194219E-4,1,0.052120876,0.7663733037958123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.45550652981098,43.10498517201215]}"
1_1_32_0,41.0,292.0,375.0,252.0,117.0,-0.9995291,0.13642381,0.06612246,0.013933744069291232,1,0.060992513,0.04647017451469715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.04140148095928,43.24593084009051]}"
1_1_33_0,34.5,182.5,207.5,145.0,79.5,-0.9996666,0.1730689,0.07615582,0.0039501025314263504,1,0.07263654,0.3248514629878241,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.61856447672422,43.4984472664565]}"
1_1_35_0,89.5,489.0,415.5,144.0,126.5,-0.9995776,0.2336588,0.092425644,7.176602485586609E-4,1,0.052120876,0.24776416906154441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.34043234191526,43.0392284932146]}"
1_1_36_0,43.0,472.0,703.0,396.0,99.0,-0.99942476,0.13701497,0.07379929,0.013558495048382649,1,0.082062654,0.1564566758795759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.37097963585718,42.58459112792171]}"
1_1_37_0,44.0,260.0,366.0,138.0,80.0,-0.99958223,0.19979534,0.08683801,0.014638903249453666,1,0.08150818,0.25287159197672904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.36424227122627,42.6048032218144]}"
1_1_39_0,64.0,184.5,224.0,118.5,75.0,-0.99966705,0.1632767,0.06862197,0.02039842984178253,1,0.084280565,0.08100846589370769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.35669642283968,42.699126326646955]}"
1_1_40_0,51.5,201.5,223.5,123.5,93.0,-0.99966574,0.16576739,0.07510587,0.010214215902491407,1,0.083726086,0.7086304098579076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.15322801098661,42.830909178827284]}"
1_1_41_0,73.5,647.0,671.0,379.5,130.0,-0.99952424,0.21884827,0.10211891,0.002369419437857419,1,0.05128916,0.5340378682792822,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.17370959946453,41.969065495243015]}"
