system:index,class,.geo
0,2,"{""type"":""Point"",""coordinates"":[-83.21168398116593,43.89702454155776]}"
1,2,"{""type"":""Point"",""coordinates"":[-83.28584169600968,43.77518231993142]}"
2,2,"{""type"":""Point"",""coordinates"":[-83.38883852218156,43.70771561028232]}"
3,2,"{""type"":""Point"",""coordinates"":[-83.99445986007218,43.60836175808497]}"
4,2,"{""type"":""Point"",""coordinates"":[-83.99720644210343,43.95439227675027]}"
5,2,"{""type"":""Point"",""coordinates"":[-84.7611727080935,43.358978732443504]}"
6,2,"{""type"":""Point"",""coordinates"":[-82.96458076856591,43.804148682251714]}"
7,2,"{""type"":""Point"",""coordinates"":[-83.08437127109316,43.803902590746866]}"
8,2,"{""type"":""Point"",""coordinates"":[-83.01905773327431,43.85441058969843]}"
9,2,"{""type"":""Point"",""coordinates"":[-82.95216775688849,43.88901387548224]}"
10,2,"{""type"":""Point"",""coordinates"":[-82.81310373325948,43.88105681157615]}"
11,2,"{""type"":""Point"",""coordinates"":[-83.17798886307628,43.52583054142719]}"
12,2,"{""type"":""Point"",""coordinates"":[-82.83449001889082,43.54380877998242]}"
13,2,"{""type"":""Point"",""coordinates"":[-83.82048946531518,42.89502118347621]}"
14,2,"{""type"":""Point"",""coordinates"":[-82.53967433260641,43.08801058773541]}"
15,2,"{""type"":""Point"",""coordinates"":[-82.70946889208517,43.19666834737129]}"
16,2,"{""type"":""Point"",""coordinates"":[-82.9112567123159,43.25786890061039]}"
17,2,"{""type"":""Point"",""coordinates"":[-83.16885216114551,43.2775896589358]}"
18,2,"{""type"":""Point"",""coordinates"":[-84.50042382794446,43.82368418977419]}"
19,2,"{""type"":""Point"",""coordinates"":[-84.25692178319923,44.04165185990854]}"
20,2,"{""type"":""Point"",""coordinates"":[-84.17060179349265,43.870406816821934]}"
21,2,"{""type"":""Point"",""coordinates"":[-84.27354266870363,43.66511128465248]}"
22,2,"{""type"":""Point"",""coordinates"":[-84.21355050803358,43.50666330040126]}"
23,2,"{""type"":""Point"",""coordinates"":[-82.67483473709808,42.848138528925325]}"
24,2,"{""type"":""Point"",""coordinates"":[-82.9505229084848,42.745311341392494]}"
25,2,"{""type"":""Point"",""coordinates"":[-83.08112769037278,42.75389463880048]}"
26,2,"{""type"":""Point"",""coordinates"":[-83.29670155680381,42.459345512602454]}"
27,2,"{""type"":""Point"",""coordinates"":[-82.97437687174536,42.51012189322669]}"
28,2,"{""type"":""Point"",""coordinates"":[-82.92821918448841,42.55791413191696]}"
29,2,"{""type"":""Point"",""coordinates"":[-82.95395616373855,42.60241484902377]}"
30,2,"{""type"":""Point"",""coordinates"":[-84.86942356332891,42.43100144450274]}"
31,2,"{""type"":""Point"",""coordinates"":[-84.56811500092351,42.301061352911006]}"
32,2,"{""type"":""Point"",""coordinates"":[-84.75668979593762,42.53028823773277]}"
33,2,"{""type"":""Point"",""coordinates"":[-84.87234823727397,42.71226120909999]}"
34,2,"{""type"":""Point"",""coordinates"":[-84.64011052715378,42.954848572125]}"
35,2,"{""type"":""Point"",""coordinates"":[-84.8072391547954,43.11788193538493]}"
36,2,"{""type"":""Point"",""coordinates"":[-82.9329295008476,42.3879302059792]}"
37,2,"{""type"":""Point"",""coordinates"":[-82.8923810612621,42.32847550253596]}"
38,2,"{""type"":""Point"",""coordinates"":[-83.0407263629696,42.45251039356322]}"
39,2,"{""type"":""Point"",""coordinates"":[-83.16032427777864,42.680579179635515]}"
40,2,"{""type"":""Point"",""coordinates"":[-82.8460990509116,42.70810539206062]}"
41,2,"{""type"":""Point"",""coordinates"":[-82.91924125503571,42.93304650660136]}"
42,2,"{""type"":""Point"",""coordinates"":[-83.00026542495759,42.93870193259617]}"
43,2,"{""type"":""Point"",""coordinates"":[-83.19424983656107,43.013802394197114]}"
44,2,"{""type"":""Point"",""coordinates"":[-84.04246572201697,42.5817167515193]}"
45,2,"{""type"":""Point"",""coordinates"":[-84.14557369439054,42.73499632889587]}"
46,2,"{""type"":""Point"",""coordinates"":[-84.0278132106378,43.099674064625795]}"
47,2,"{""type"":""Point"",""coordinates"":[-83.75029203443505,43.29524230288132]}"
48,2,"{""type"":""Point"",""coordinates"":[-83.51192273251145,43.44334566986393]}"
49,2,"{""type"":""Point"",""coordinates"":[-84.66459798539923,43.55947496874077]}"
50,2,"{""type"":""Point"",""coordinates"":[-84.84733269875947,43.48477855343476]}"
51,2,"{""type"":""Point"",""coordinates"":[-84.47085692880677,43.36147185495276]}"
52,2,"{""type"":""Point"",""coordinates"":[-84.47831509869668,43.24106004178374]}"
