system:index,class,.geo
0,0,"{""type"":""Point"",""coordinates"":[-83.41159123582783,43.16037689017178]}"
1,0,"{""type"":""Point"",""coordinates"":[-83.43686602788739,43.11928143709149]}"
2,0,"{""type"":""Point"",""coordinates"":[-83.63657909169945,43.09297393202805]}"
3,0,"{""type"":""Point"",""coordinates"":[-84.04080308684195,43.35169566204979]}"
4,0,"{""type"":""Point"",""coordinates"":[-83.76692600468547,43.63148350870245]}"
5,0,"{""type"":""Point"",""coordinates"":[-83.85430164555461,43.64552181036809]}"
6,0,"{""type"":""Point"",""coordinates"":[-83.68933506230266,43.59146257165048]}"
7,0,"{""type"":""Point"",""coordinates"":[-83.51541703104337,43.70202582140595]}"
8,0,"{""type"":""Point"",""coordinates"":[-83.52468674539884,43.71766055133982]}"
9,0,"{""type"":""Point"",""coordinates"":[-83.56605713724454,43.680304152910296]}"
10,0,"{""type"":""Point"",""coordinates"":[-83.43216126322112,43.78350495792329]}"
11,0,"{""type"":""Point"",""coordinates"":[-83.93203154997835,43.78734711095947]}"
12,0,"{""type"":""Point"",""coordinates"":[-83.37675080067446,43.91189991373483]}"
13,0,"{""type"":""Point"",""coordinates"":[-84.22729511547358,43.58118605336013]}"
14,0,"{""type"":""Point"",""coordinates"":[-83.90202121855383,43.507206446157056]}"
15,0,"{""type"":""Point"",""coordinates"":[-83.9180569487975,43.53042598098624]}"
16,0,"{""type"":""Point"",""coordinates"":[-84.93283052857753,43.26432720467914]}"
17,0,"{""type"":""Point"",""coordinates"":[-84.93677874024745,43.255888866928856]}"
18,0,"{""type"":""Point"",""coordinates"":[-84.56812304283582,43.141192532101265]}"
19,0,"{""type"":""Point"",""coordinates"":[-84.68450945641004,43.14357235554132]}"
20,0,"{""type"":""Point"",""coordinates"":[-84.27984802218978,43.089565273109855]}"
21,0,"{""type"":""Point"",""coordinates"":[-83.74184052470387,42.819201118002574]}"
22,0,"{""type"":""Point"",""coordinates"":[-83.7212411594695,42.85595707008462]}"
23,0,"{""type"":""Point"",""coordinates"":[-82.52479846336843,43.2732720580616]}"
24,0,"{""type"":""Point"",""coordinates"":[-82.53656971281085,43.388888722474086]}"
25,0,"{""type"":""Point"",""coordinates"":[-82.55289920627258,43.45948661365925]}"
26,0,"{""type"":""Point"",""coordinates"":[-82.56431468783998,43.49031781428424]}"
27,0,"{""type"":""Point"",""coordinates"":[-82.60443285459249,43.67268180917423]}"
28,0,"{""type"":""Point"",""coordinates"":[-82.59867375787174,43.60988826875875]}"
29,0,"{""type"":""Point"",""coordinates"":[-82.72833035529214,43.97169846018803]}"
30,0,"{""type"":""Point"",""coordinates"":[-82.78738186896402,44.01393470848017]}"
31,0,"{""type"":""Point"",""coordinates"":[-82.89449856818277,44.052933295080415]}"
